city,lat,lon
臺北市政府,121.564,25.037
新北市政府,121.466,25.012
淡水區公所,121.444,25.187
坪林區公所,121.712,24.936
基隆市政府,121.744,25.132
桃園市政府,121.301,24.993
楊梅區公所,121.144,24.913
復興區公所,121.351,24.815
新竹市政府,120.969,24.807
新竹縣政府,121.013,24.827
竹東鎮公所,121.092,24.737
苗栗縣政府,120.821,24.565
卓蘭鎮公所,120.824,24.313
泰安鄉公所,120.908,24.447
臺中市政府,120.647,24.162
后里區公所,120.711,24.305
和平區公所,120.884,24.175
南投縣政府,120.691,23.903
埔里鎮公所,120.969,23.967
信義鄉公所,120.855,23.697
彰化縣政府,120.545,24.076
北斗鎮公所,120.519,23.869
雲林縣政府,120.526,23.699
北港鎮公所,120.302,23.576
嘉義市政府,120.454,23.481
嘉義縣政府,120.293,23.459
番路鄉公所,120.554,23.464
東區區公所,120.224,22.98
民治市政中心,120.314,23.311
玉井區公所,120.46,23.124
高雄市政府,120.312,22.62
旗山區公所,120.483,22.889
屏東縣政府,120.488,22.683
恆春鎮公所,120.747,22.004
高樹鄉公所,120.6,22.827
宜蘭縣政府,121.763,24.731
蘇澳鎮公所,121.842,24.594
大同鄉公所,121.609,24.677
花蓮縣政府,121.62,23.991
光復鄉公所,121.423,23.669
玉里鎮公所,121.315,23.336
臺東縣政府,121.15,22.756
池上鄉公所,121.215,23.122
大武鄉公所,120.89,22.341
澎湖縣政府,119.566,23.57
